ClockLab,,,,
1873L,,,,
16-Nov-20,6:00,,,
Day,Hr,Min,Cnts/min,Lights
4,14,0,0,149.4
4,14,5,0,244.6
4,14,10,11.6,241.6
4,14,15,5.8,195.6
4,14,20,20.4,237.4
4,14,25,8.6,193
4,14,30,10.6,194.2
4,14,35,0,193.8
4,14,40,0,241.8
4,14,45,0,244.6
4,14,50,0,242.6
4,14,55,0,244.4
4,15,0,0,243
4,15,5,0,245.6
4,15,10,0,242.6
4,15,15,0,239.6
4,15,20,0,192.8
4,15,25,0,195
4,15,30,0,245.2
4,15,35,0,242.8
4,15,40,0,196.4
4,15,45,0,241.4
4,15,50,0,194.6
4,15,55,0,197
4,16,0,0,239.6
4,16,5,0,244.4
4,16,10,0,247.8
4,16,15,0,200.8
4,16,20,0,189.6
4,16,25,6.4,242
4,16,30,16,236
4,16,35,38.2,239
4,16,40,12.2,241.8
4,16,45,0,191.4
4,16,50,3.2,246.2
4,16,55,0,192.4
4,17,0,0,244.8
4,17,5,7,242.6
4,17,10,16.4,242
4,17,15,13.2,235.2
4,17,20,0,241.6
4,17,25,0,191.4
4,17,30,0,242.6
4,17,35,0,142.2
4,17,40,0,191.2
4,17,45,0,248
4,17,50,0,247.2
4,17,55,0,243.6
4,18,0,0,244.8
4,18,5,0,244.2
4,18,10,0,241.6
4,18,15,0,236
4,18,20,0,244.8
4,18,25,0,240.4
4,18,30,0,243.6
4,18,35,0,241
4,18,40,0,199.2
4,18,45,0,243.8
4,18,50,0,242.8
4,18,55,0,246.6
4,19,0,5.8,47.4
4,19,5,34.8,0
4,19,10,43,0
4,19,15,2.4,0
4,19,20,23.8,0
4,19,25,31.2,0
4,19,30,52.2,0
4,19,35,45.2,0
4,19,40,12.6,0
4,19,45,42.2,0
4,19,50,39.2,0
4,19,55,32,0
4,20,0,44.4,0
4,20,5,31.6,0
4,20,10,33.8,0
4,20,15,28,0
4,20,20,9.2,0
4,20,25,22.8,0
4,20,30,0,0
4,20,35,45.4,0
4,20,40,26.4,0
4,20,45,24.6,0
4,20,50,7,0
4,20,55,14.2,0
4,21,0,47,0
4,21,5,41.6,0
4,21,10,16.6,0
4,21,15,40,0
4,21,20,51,0
4,21,25,40.6,0
4,21,30,30.8,0
4,21,35,0,0
4,21,40,0,0
4,21,45,3,0
4,21,50,0,0
4,21,55,0,0
4,22,0,0,0
4,22,5,0,0
4,22,10,0,0
4,22,15,0,0
4,22,20,0,0
4,22,25,0,0
4,22,30,0,0
4,22,35,0,0
4,22,40,0,0
4,22,45,0,0
4,22,50,31.6,0
4,22,55,55,0
4,23,0,49.4,0
4,23,5,44,0
4,23,10,16.4,0
4,23,15,34.6,0
4,23,20,37.2,0
4,23,25,47,0
4,23,30,47.6,0
4,23,35,48,0
4,23,40,54,0
4,23,45,40.2,0
4,23,50,25.8,0
4,23,55,39.6,0
5,0,0,43.4,0
5,0,5,40,0
5,0,10,44,0
5,0,15,51.2,0
5,0,20,38.4,0
5,0,25,41.6,0
5,0,30,30.2,0
5,0,35,34.8,0
5,0,40,31,0
5,0,45,42.2,0
5,0,50,20,0
5,0,55,20.4,0
5,1,0,25.4,0
5,1,5,20.8,0
5,1,10,38.2,0
5,1,15,11.2,0
5,1,20,17,0
5,1,25,46.8,0
5,1,30,48.6,0
5,1,35,40,0
5,1,40,35.6,0
5,1,45,39.4,0
5,1,50,31.8,0
5,1,55,38.6,0
5,2,0,44.4,0
5,2,5,35.6,0
5,2,10,30.4,0
5,2,15,27,0
5,2,20,9,0
5,2,25,0,0
5,2,30,0,0
5,2,35,0,0
5,2,40,0,0
5,2,45,0,0
5,2,50,0,0
5,2,55,0,0
5,3,0,0,0
5,3,5,0,0
5,3,10,0,0
5,3,15,0,0
5,3,20,0,0
5,3,25,0,0
5,3,30,0,0
5,3,35,0,0
5,3,40,0,0
5,3,45,0,0
5,3,50,0,0
5,3,55,0,0
5,4,0,0,0
5,4,5,0,0
5,4,10,0,0
5,4,15,0,0
5,4,20,27.6,0
5,4,25,31.2,0
5,4,30,30.6,0
5,4,35,38.4,0
5,4,40,19.8,0
5,4,45,32,0
5,4,50,32.4,0
5,4,55,38.2,0
5,5,0,40.8,0
5,5,5,40.8,0
5,5,10,28,0
5,5,15,0,0
5,5,20,31.2,0
5,5,25,48.6,0
5,5,30,37.8,0
5,5,35,35.8,0
5,5,40,14.4,0
5,5,45,21,0
5,5,50,16,0
5,5,55,34.6,0
5,6,0,51,0
5,6,5,18,0
5,6,10,0,0
5,6,15,0,0
5,6,20,0,0
5,6,25,0,0
5,6,30,0,0
5,6,35,0,0
5,6,40,0,0
5,6,45,0,0
5,6,50,0,0
